date,Strain Score,Avg Heart Rate,Heart Rate Variability,Max Heart Rate,Resting Heart Rate,Total Calories Burned,Recovery Score,Deep Sleep,Deep Sleep Percent,Light Sleep,Light Sleep Percent,Nap Count,Nap Sleep,REM Sleep,REM Sleep Percent,Sleep End Time,Sleep Score,Sleep Start Time,Time Awake,Time in Bed,Total Sleep,Sleep Consistency,Sleep Cycles,Sleep Disturbances,Sleep Disturbances / Hour,Sleep Disturbances Duration,Sleep Onset Latency,Sleep Respiratory Rate,Time Asleep Percent,Time Awake Percent
2022-02-19,16.184096532327484,76.0,89.739695,171.0,51.0,3126.701048637667,92.0,1.7770475,23.380052230573227,3.788054166666667,49.83823126219597,,,2.035597777777778,26.7817165072308,9.016666666666667,79.0,0.9166666666666666,0.5310263888888889,8.120874166666667,7.6006994444444445,,4.0,11.0,1.354533979254491,22.975133333333336,8.651716666666665,17.8125,93.4696963501632,6.530303649836804
2022-02-20,16.191751687484135,75.0,88.74856,177.0,56.0,2489.7351237601574,88.0,1.447091111111111,21.004423343681403,3.6730855555555553,53.314572520047946,,,1.7692822222222224,25.68100413627066,9.9,71.0,2.066666666666667,0.9345108333333333,7.815926944444445,6.889458888888888,75.0,8.0,16.0,2.0471020409642886,33.58156666666667,0.0,18.164062,88.05579690985937,11.944203090140622
2022-03-02,11.61700970975417,72.0,82.07419,157.0,52.0,2581.6148571940726,76.0,1.5420180555555556,24.85354635475515,3.0861602777777777,49.7413290626613,,,1.5762402777777778,25.40512458258355,7.633333333333333,69.0,0.9666666666666667,0.4668547222222222,6.662364444444444,6.204418611111111,,4.0,7.0,1.050678037560239,12.881466666666666,0.0,17.783203,93.00201477445752,6.997985225542483
2022-03-03,15.552657360746515,71.0,97.73076,181.0,51.0,2906.5580933317397,94.0,1.2302430555555555,18.412113475532298,4.4142705555555555,66.06503488360444,,,1.037191111111111,15.522851640863275,9.033333333333333,71.0,1.9,0.45990777777777775,7.132867222222222,6.6817047222222214,,2.0,11.0,1.54215684342614,23.0232,0.0,17.695312,93.56016897055423,6.439831029445769
2022-03-04,5.100307202761726,66.0,77.36002,145.0,56.0,1889.4436254556047,42.0,0.7387875000000002,25.820124753558716,1.5358627777777776,53.67736802066826,1.0,1.7941480555555556,0.5866352777777778,20.50250722577303,6.266666666666667,29.0,3.15,0.2572258333333333,3.114355,2.8612855555555554,,1.0,8.0,2.568750190649428,15.284683333333334,0.0,18.28125,91.75164681938257,8.248353180617427
2022-03-05,5.549887844898423,61.0,96.48605,141.0,52.0,2039.9816451063575,96.0,2.0834719444444443,24.30824078478374,4.943958888888889,57.68205490918121,,,1.543621111111111,18.00970430603504,10.633333333333333,96.0,1.3333333333333333,0.6427955555555555,9.202339722222224,8.571051944444443,41.0,4.0,16.0,1.7386882557011543,33.93398333333333,0.0,17.871094,93.02359241830783,6.976407581692182
2022-03-08,15.025809875061839,70.0,93.87164,167.0,51.0,2922.152283998566,94.0,1.912336388888889,24.77818121299736,4.623908055555556,59.91207006177547,,,1.1815794444444443,15.309748725227168,9.133333333333333,95.0,0.85,0.5727405555555555,8.280556666666667,7.717823888888889,38.0,4.0,14.0,1.6907075893045835,29.239633333333334,0.0,17.509766,93.09165787934558,6.90834212065443
2022-03-09,7.886374463994647,62.0,66.498436,157.0,49.0,2123.7006397137907,56.0,1.7840005555555556,20.49646008206815,5.118031111111111,58.801282343213416,,,1.8019130555555556,20.702257574718434,10.783333333333333,99.0,1.2,0.8839802777777778,9.576979444444444,8.703944722222221,,5.0,17.0,1.7750899538436007,36.337266666666665,0.0,17.402344,90.78027542166028,9.219724578339711
2022-03-10,16.54485125868756,68.0,60.504414,169.0,47.0,3244.4785940487573,49.0,1.8647533333333333,21.86350133523741,5.13782111111111,60.2389370835403,,,1.5264955555555555,17.897561581222284,10.1,100.0,0.16666666666666666,1.3906766666666666,9.907027222222222,8.529069999999999,66.0,5.0,21.0,2.1197075095236833,48.8021,8.1871,16.801758,85.9807239701014,14.019276029898615
2022-03-11,7.566935073280785,63.0,52.781645000000005,147.0,47.0,2225.640320641133,39.0,1.8492291666666667,24.037131834861206,4.967231388888889,64.56635981153389,,,0.8767583333333333,11.396508353604913,9.733333333333333,89.0,1.1833333333333333,0.8430713888888889,8.525421666666666,7.6932188888888895,85.0,6.0,12.0,1.4075550124304703,27.7176,0.0,17.236328,90.12367947369799,9.876320526302003
2022-03-12,15.843292128147414,70.0,68.02538,179.0,47.0,2880.9443340702674,56.0,1.7187583333333334,25.180245939509184,2.9439202777777775,43.1291794681738,,,2.1631416666666667,31.690574592317006,9.016666666666667,80.0,1.6333333333333333,0.5393166666666667,7.3558369444444445,6.825820277777778,83.0,4.0,12.0,1.6313575315264564,26.820383333333332,0.0,16.894531,92.67743871248075,7.322561287519244
2022-03-13,0.0,52.0,80.222115,85.0,53.0,659.1216282452498,49.0,0.6986805555555555,23.479233631840017,1.4158055555555553,47.57829476120679,,,0.8612522222222221,28.942471606953195,6.116666666666666,32.0,2.716666666666667,0.42568,3.3971375,2.975738333333333,81.0,1.0,9.0,2.64928929135191,18.168633333333332,7.19375,17.236328,87.48522062610157,12.514779373898438
2022-03-14,,,45.864630000000005,,47.0,,20.0,0.6837058333333332,28.64993017765268,1.3246227777777777,55.50683970332515,,,0.37808499999999995,15.843230119022165,4.233333333333333,23.0,1.7166666666666668,0.13663444444444445,2.519681666666666,2.386413611111111,47.0,1.0,1.0,0.39687553123443503,1.9065833333333333,0.0,17.558594,94.58454847328072,5.415451526719281
